Recording,Site,Day,Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),File Offset (s),Begin File,Begin Path,Begin Date Time,species,background,exclusion code
1A,1,A,16,Spectrogram 1,1,264.236,265.3557913,646.8,4875.6,264.236,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,264.236,????,1,10
1A,1,A,17,Spectrogram 1,1,269.126,270.8245179,2261.9,3571.4,269.126,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,269.126,????,1,10
1A,1,A,22,Spectrogram 1,1,515.244,519.3932988,1307.7,2286.7,515.244,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,515.244,????,1,10
1A,1,A,50,Spectrogram 1,1,737.215,740.5483322,2740.8,3600.9,737.215,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,737.215,????,1,10
1A,1,A,120,Spectrogram 1,1,1267.053,1309.969652,2853.4,3588.7,1267.053,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1267.053,????,,10
1A,1,A,126,Spectrogram 1,1,1339.511,1350.03183,1911,3429.3,1339.511,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1339.511,????,,10
1A,1,A,131,Spectrogram 1,1,1330.267,1332.141999,3822,4816.8,1330.267,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1330.267,????,,10
1A,1,A,211,Spectrogram 1,1,1032.126,1033.271833,3425.9,5277.8,1032.126,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1032.126,????,,10
1A,1,A,225,Spectrogram 1,1,1053.22,1054.261666,3601,4910.5,1053.22,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1053.22,????,,10
1A,1,A,226,Spectrogram 1,1,1062.074,1062.829208,3732,4975.9,1062.074,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1062.074,????,,10
1A,1,A,228,Spectrogram 1,1,1044.444,1045.485666,3535.5,4910.5,1044.444,S-01-312_20190116_100007.wav,/Volumes/CBRP-ITA-2/Site 01/S-01-312_001/S-01-312_2019-01-16/S-01-312_20190116_100007.wav,1044.444,????,,10
